palabra,color_tinta,tecla_correcta
rojo,blue,down
azul,green,left
verde,red,up
verde,blue,down
azul,red,up
rojo,blue,down
amarillo,green,left
rojo,yellow,right
amarillo,blue,down
amarillo,red,up
amarillo,green,left
amarillo,blue,down
verde,yellow,right
verde,red,up
azul,green,left
amarillo,blue,down
amarillo,red,up
rojo,blue,down
azul,red,up
azul,green,left
amarillo,red,up
azul,yellow,right
rojo,green,left
verde,yellow,right
verde,blue,down
amarillo,green,left
verde,yellow,right
rojo,green,left
rojo,yellow,right
azul,red,up
verde,blue,down
azul,yellow,right
verde,red,up
rojo,yellow,right
rojo,green,left
azul,yellow,right
