palabra,color_tinta,tecla_correcta
rojo,blue,down
azul,red,up
verde,blue,down
verde,yellow,right
rojo,green,left
rojo,blue,down
azul,red,up
verde,blue,down
azul,green,left
rojo,blue,down
rojo,green,left
verde,blue,down
amarillo,green,left
verde,yellow,right
verde,red,up
amarillo,green,left
verde,red,up
rojo,green,left
amarillo,red,up
amarillo,green,left
azul,yellow,right
azul,green,left
rojo,yellow,right
verde,red,up
rojo,yellow,right
azul,red,up
azul,green,left
azul,yellow,right
amarillo,red,up
verde,yellow,right
amarillo,blue,down
rojo,yellow,right
amarillo,red,up
amarillo,blue,down
azul,yellow,right
amarillo,blue,down
