palabra,color_tinta,tecla_correcta
azul,red,up
azul,green,left
rojo,blue,down
rojo,green,left
verde,yellow,right
verde,red,up
verde,yellow,right
verde,red,up
rojo,green,left
rojo,yellow,right
amarillo,red,up
rojo,blue,down
azul,yellow,right
amarillo,blue,down
verde,yellow,right
amarillo,green,left
rojo,blue,down
rojo,green,left
azul,yellow,right
verde,red,up
amarillo,green,left
azul,red,up
amarillo,blue,down
rojo,yellow,right
amarillo,red,up
rojo,yellow,right
amarillo,red,up
amarillo,blue,down
azul,red,up
amarillo,green,left
verde,blue,down
azul,green,left
verde,blue,down
azul,yellow,right
azul,green,left
verde,blue,down
