palabra,color_tinta,tecla_correcta
azul,red,up
rojo,green,left
amarillo,blue,down
rojo,green,left
amarillo,blue,down
amarillo,green,left
verde,yellow,right
azul,red,up
azul,green,left
amarillo,red,up
rojo,yellow,right
amarillo,red,up
azul,green,left
rojo,blue,down
rojo,green,left
rojo,blue,down
azul,red,up
amarillo,blue,down
verde,yellow,right
azul,green,left
verde,yellow,right
amarillo,green,left
rojo,yellow,right
rojo,blue,down
verde,red,up
azul,yellow,right
verde,blue,down
amarillo,red,up
rojo,yellow,right
verde,red,up
amarillo,green,left
verde,blue,down
verde,red,up
azul,yellow,right
verde,blue,down
azul,yellow,right
