palabra,color_tinta,tecla_correcta
verde,yellow,right
amarillo,red,up
rojo,blue,down
rojo,green,left
rojo,yellow,right
rojo,blue,down
rojo,yellow,right
rojo,blue,down
verde,yellow,right
amarillo,blue,down
azul,yellow,right
amarillo,red,up
verde,blue,down
verde,red,up
amarillo,green,left
verde,red,up
azul,green,left
rojo,yellow,right
verde,red,up
azul,green,left
amarillo,red,up
amarillo,blue,down
azul,yellow,right
amarillo,green,left
azul,yellow,right
rojo,green,left
verde,blue,down
amarillo,green,left
verde,blue,down
rojo,green,left
azul,red,up
amarillo,blue,down
azul,red,up
azul,green,left
azul,red,up
verde,yellow,right
