palabra,color_tinta,tecla_correcta
amarillo,green,left
verde,yellow,right
azul,green,left
verde,red,up
amarillo,green,left
amarillo,red,up
rojo,green,left
rojo,blue,down
verde,red,up
azul,yellow,right
azul,green,left
rojo,yellow,right
azul,green,left
azul,red,up
rojo,blue,down
amarillo,red,up
verde,blue,down
azul,yellow,right
amarillo,red,up
azul,yellow,right
verde,blue,down
rojo,green,left
rojo,blue,down
rojo,green,left
verde,blue,down
verde,red,up
verde,yellow,right
amarillo,green,left
rojo,yellow,right
amarillo,blue,down
azul,red,up
verde,yellow,right
amarillo,blue,down
rojo,yellow,right
amarillo,blue,down
azul,red,up
