palabra,color_tinta,tecla_correcta
amarillo,blue,down
azul,red,up
amarillo,green,left
azul,yellow,right
azul,red,up
amarillo,green,left
rojo,blue,down
amarillo,red,up
rojo,green,left
amarillo,blue,down
verde,yellow,right
amarillo,red,up
amarillo,blue,down
rojo,green,left
amarillo,red,up
rojo,green,left
rojo,blue,down
amarillo,green,left
azul,red,up
verde,blue,down
verde,red,up
azul,yellow,right
rojo,blue,down
rojo,yellow,right
azul,green,left
verde,blue,down
rojo,yellow,right
azul,green,left
rojo,yellow,right
verde,red,up
azul,green,left
verde,yellow,right
verde,red,up
azul,yellow,right
verde,blue,down
verde,yellow,right
