palabra,color_tinta,tecla_correcta
amarillo,blue,down
azul,green,left
verde,blue,down
verde,yellow,right
amarillo,red,up
verde,blue,down
amarillo,red,up
amarillo,green,left
amarillo,blue,down
azul,green,left
verde,red,up
azul,green,left
verde,yellow,right
rojo,green,left
rojo,blue,down
azul,red,up
amarillo,blue,down
amarillo,red,up
rojo,yellow,right
azul,red,up
verde,blue,down
rojo,yellow,right
rojo,green,left
azul,yellow,right
azul,red,up
azul,yellow,right
rojo,blue,down
rojo,green,left
rojo,blue,down
amarillo,green,left
verde,red,up
rojo,yellow,right
verde,red,up
azul,yellow,right
amarillo,green,left
verde,yellow,right
