palabra,color_tinta,tecla_correcta
rojo,green,left
amarillo,red,up
azul,yellow,right
amarillo,blue,down
amarillo,green,left
verde,yellow,right
amarillo,green,left
verde,red,up
amarillo,green,left
verde,yellow,right
verde,red,up
rojo,green,left
amarillo,blue,down
rojo,green,left
verde,blue,down
verde,yellow,right
rojo,blue,down
azul,red,up
azul,yellow,right
amarillo,blue,down
amarillo,red,up
azul,yellow,right
azul,red,up
rojo,yellow,right
azul,red,up
verde,blue,down
rojo,yellow,right
verde,blue,down
amarillo,red,up
rojo,yellow,right
verde,red,up
azul,green,left
rojo,blue,down
azul,green,left
rojo,blue,down
azul,green,left
