palabra,color_tinta,tecla_correcta
verde,red,up
amarillo,blue,down
rojo,green,left
rojo,blue,down
azul,green,left
azul,red,up
verde,blue,down
amarillo,red,up
rojo,green,left
verde,blue,down
amarillo,red,up
azul,yellow,right
amarillo,green,left
amarillo,blue,down
verde,yellow,right
amarillo,blue,down
amarillo,red,up
azul,green,left
verde,yellow,right
azul,red,up
amarillo,green,left
azul,red,up
rojo,blue,down
azul,green,left
rojo,yellow,right
verde,red,up
amarillo,green,left
rojo,yellow,right
verde,blue,down
azul,yellow,right
rojo,green,left
verde,yellow,right
verde,red,up
rojo,yellow,right
rojo,blue,down
azul,yellow,right
