palabra,color_tinta,tecla_correcta
amarillo,green,left
azul,yellow,right
azul,red,up
azul,yellow,right
amarillo,red,up
rojo,green,left
verde,red,up
rojo,blue,down
azul,yellow,right
rojo,green,left
amarillo,blue,down
azul,green,left
verde,blue,down
verde,red,up
amarillo,blue,down
amarillo,red,up
amarillo,green,left
amarillo,blue,down
azul,green,left
rojo,blue,down
verde,red,up
verde,yellow,right
rojo,green,left
verde,blue,down
rojo,yellow,right
amarillo,green,left
rojo,yellow,right
amarillo,red,up
verde,blue,down
azul,green,left
rojo,blue,down
verde,yellow,right
azul,red,up
verde,yellow,right
azul,red,up
rojo,yellow,right
