palabra,color_tinta,tecla_correcta
azul,yellow,right
rojo,blue,down
verde,yellow,right
rojo,blue,down
amarillo,green,left
verde,blue,down
verde,yellow,right
amarillo,red,up
azul,yellow,right
azul,green,left
verde,yellow,right
rojo,blue,down
azul,yellow,right
amarillo,red,up
amarillo,blue,down
azul,green,left
rojo,yellow,right
verde,blue,down
azul,red,up
rojo,yellow,right
azul,red,up
azul,green,left
amarillo,blue,down
amarillo,green,left
verde,red,up
amarillo,blue,down
amarillo,red,up
rojo,green,left
verde,red,up
verde,blue,down
rojo,green,left
rojo,yellow,right
rojo,green,left
verde,red,up
amarillo,green,left
azul,red,up
