palabra,color_tinta,tecla_correcta
amarillo,green,left
azul,yellow,right
amarillo,blue,down
amarillo,red,up
rojo,yellow,right
verde,red,up
rojo,yellow,right
verde,blue,down
rojo,yellow,right
azul,red,up
rojo,green,left
azul,yellow,right
rojo,green,left
verde,blue,down
rojo,green,left
rojo,blue,down
verde,red,up
azul,green,left
verde,red,up
amarillo,green,left
rojo,blue,down
amarillo,green,left
amarillo,blue,down
azul,yellow,right
azul,green,left
verde,yellow,right
verde,blue,down
azul,green,left
azul,red,up
amarillo,blue,down
amarillo,red,up
verde,yellow,right
amarillo,red,up
verde,yellow,right
azul,red,up
rojo,blue,down
