palabra,color_tinta,tecla_correcta
rojo,yellow,right
verde,red,up
rojo,blue,down
verde,red,up
amarillo,blue,down
azul,red,up
azul,yellow,right
verde,blue,down
azul,red,up
azul,green,left
amarillo,red,up
amarillo,green,left
verde,red,up
azul,yellow,right
amarillo,blue,down
azul,yellow,right
amarillo,blue,down
verde,yellow,right
amarillo,red,up
rojo,blue,down
verde,yellow,right
amarillo,green,left
azul,red,up
azul,green,left
verde,yellow,right
amarillo,green,left
amarillo,red,up
azul,green,left
rojo,blue,down
rojo,yellow,right
verde,blue,down
rojo,green,left
rojo,yellow,right
rojo,green,left
verde,blue,down
rojo,green,left
