palabra,color_tinta,tecla_correcta
azul,green,left
rojo,blue,down
verde,red,up
amarillo,green,left
verde,red,up
amarillo,green,left
azul,red,up
verde,blue,down
azul,yellow,right
azul,green,left
rojo,yellow,right
verde,blue,down
amarillo,red,up
rojo,green,left
amarillo,red,up
verde,yellow,right
verde,red,up
azul,yellow,right
amarillo,green,left
amarillo,red,up
azul,green,left
verde,blue,down
rojo,yellow,right
rojo,green,left
amarillo,blue,down
rojo,yellow,right
rojo,blue,down
verde,yellow,right
rojo,blue,down
rojo,green,left
azul,red,up
verde,yellow,right
amarillo,blue,down
azul,red,up
azul,yellow,right
amarillo,blue,down
