palabra,color_tinta,tecla_correcta
verde,blue,down
rojo,green,left
verde,blue,down
amarillo,red,up
azul,yellow,right
verde,red,up
azul,green,left
azul,red,up
azul,yellow,right
azul,red,up
verde,blue,down
rojo,yellow,right
amarillo,blue,down
rojo,yellow,right
amarillo,red,up
azul,green,left
verde,red,up
verde,yellow,right
rojo,blue,down
rojo,yellow,right
verde,red,up
azul,green,left
rojo,blue,down
amarillo,green,left
amarillo,red,up
amarillo,green,left
azul,red,up
verde,yellow,right
rojo,blue,down
amarillo,green,left
azul,yellow,right
rojo,green,left
amarillo,blue,down
rojo,green,left
verde,yellow,right
amarillo,blue,down
