palabra,color_tinta,tecla_correcta
rojo,green,left
azul,yellow,right
amarillo,blue,down
amarillo,green,left
verde,red,up
verde,yellow,right
amarillo,green,left
amarillo,red,up
amarillo,green,left
verde,red,up
azul,green,left
azul,yellow,right
verde,red,up
amarillo,blue,down
azul,green,left
verde,blue,down
verde,yellow,right
rojo,blue,down
azul,red,up
rojo,green,left
verde,yellow,right
rojo,green,left
azul,yellow,right
amarillo,red,up
azul,green,left
rojo,blue,down
azul,red,up
rojo,yellow,right
rojo,blue,down
azul,red,up
verde,blue,down
rojo,yellow,right
verde,blue,down
rojo,yellow,right
amarillo,blue,down
amarillo,red,up
