palabra,color_tinta,tecla_correcta
verde,red,up
azul,green,left
rojo,blue,down
azul,green,left
verde,blue,down
azul,green,left
rojo,yellow,right
amarillo,red,up
amarillo,blue,down
verde,yellow,right
verde,blue,down
amarillo,green,left
rojo,blue,down
amarillo,red,up
azul,yellow,right
verde,blue,down
verde,yellow,right
rojo,green,left
amarillo,red,up
rojo,yellow,right
verde,red,up
rojo,blue,down
amarillo,green,left
rojo,yellow,right
verde,red,up
amarillo,blue,down
rojo,green,left
azul,red,up
verde,yellow,right
azul,red,up
amarillo,green,left
amarillo,blue,down
rojo,green,left
azul,yellow,right
azul,red,up
azul,yellow,right
