palabra,color_tinta,tecla_correcta
azul,red,up
verde,yellow,right
rojo,blue,down
amarillo,red,up
azul,yellow,right
verde,red,up
verde,yellow,right
amarillo,blue,down
amarillo,green,left
amarillo,red,up
verde,blue,down
verde,red,up
rojo,green,left
azul,yellow,right
rojo,green,left
rojo,yellow,right
amarillo,red,up
azul,yellow,right
azul,green,left
verde,blue,down
rojo,yellow,right
rojo,green,left
verde,red,up
amarillo,blue,down
rojo,yellow,right
azul,green,left
verde,yellow,right
amarillo,green,left
azul,red,up
amarillo,blue,down
azul,red,up
rojo,blue,down
azul,green,left
verde,blue,down
amarillo,green,left
rojo,blue,down
