palabra,color_tinta,tecla_correcta
verde,red,up
verde,blue,down
amarillo,green,left
amarillo,red,up
rojo,green,left
amarillo,blue,down
amarillo,green,left
rojo,yellow,right
azul,red,up
azul,green,left
amarillo,red,up
amarillo,blue,down
azul,red,up
verde,blue,down
rojo,green,left
amarillo,blue,down
rojo,yellow,right
amarillo,green,left
rojo,blue,down
amarillo,red,up
rojo,yellow,right
rojo,blue,down
azul,red,up
verde,blue,down
rojo,green,left
verde,yellow,right
azul,green,left
azul,yellow,right
verde,red,up
verde,yellow,right
verde,red,up
verde,yellow,right
rojo,blue,down
azul,yellow,right
azul,green,left
azul,yellow,right
