palabra,color_tinta,tecla_correcta
rojo,yellow,right
verde,blue,down
azul,yellow,right
rojo,green,left
amarillo,red,up
rojo,yellow,right
amarillo,green,left
azul,yellow,right
amarillo,blue,down
verde,yellow,right
verde,blue,down
azul,green,left
rojo,yellow,right
rojo,green,left
amarillo,red,up
azul,green,left
azul,yellow,right
amarillo,red,up
azul,green,left
amarillo,blue,down
verde,yellow,right
amarillo,blue,down
amarillo,green,left
verde,yellow,right
azul,red,up
amarillo,green,left
verde,blue,down
azul,red,up
rojo,blue,down
azul,red,up
rojo,green,left
verde,red,up
rojo,blue,down
verde,red,up
rojo,blue,down
verde,red,up
