palabra,color_tinta,tecla_correcta
rojo,yellow,right
amarillo,red,up
amarillo,blue,down
verde,red,up
verde,yellow,right
azul,red,up
verde,blue,down
azul,yellow,right
azul,green,left
azul,yellow,right
amarillo,red,up
rojo,blue,down
amarillo,green,left
amarillo,blue,down
amarillo,green,left
amarillo,red,up
amarillo,green,left
azul,yellow,right
rojo,blue,down
azul,red,up
azul,green,left
rojo,blue,down
azul,red,up
azul,green,left
amarillo,blue,down
rojo,green,left
verde,blue,down
verde,yellow,right
verde,blue,down
verde,yellow,right
rojo,green,left
verde,red,up
rojo,yellow,right
rojo,green,left
verde,red,up
rojo,yellow,right
