palabra,color_tinta,tecla_correcta
verde,red,up
verde,yellow,right
amarillo,red,up
amarillo,green,left
azul,red,up
rojo,green,left
verde,red,up
azul,yellow,right
azul,red,up
rojo,blue,down
azul,red,up
verde,yellow,right
rojo,blue,down
verde,yellow,right
amarillo,green,left
verde,blue,down
amarillo,red,up
verde,blue,down
azul,yellow,right
amarillo,green,left
rojo,yellow,right
rojo,green,left
azul,yellow,right
rojo,green,left
amarillo,red,up
azul,green,left
rojo,blue,down
rojo,yellow,right
verde,red,up
amarillo,blue,down
azul,green,left
amarillo,blue,down
azul,green,left
verde,blue,down
rojo,yellow,right
amarillo,blue,down
