palabra,color_tinta,tecla_correcta
amarillo,red,up
amarillo,blue,down
amarillo,red,up
rojo,yellow,right
rojo,green,left
azul,yellow,right
amarillo,red,up
azul,yellow,right
azul,green,left
verde,blue,down
verde,red,up
amarillo,green,left
verde,red,up
verde,yellow,right
verde,blue,down
verde,yellow,right
amarillo,blue,down
azul,red,up
verde,yellow,right
verde,red,up
amarillo,green,left
rojo,yellow,right
rojo,blue,down
rojo,green,left
amarillo,blue,down
rojo,yellow,right
azul,red,up
azul,green,left
verde,blue,down
azul,red,up
rojo,blue,down
amarillo,green,left
rojo,blue,down
rojo,green,left
azul,yellow,right
azul,green,left
