palabra,color_tinta,tecla_correcta
rojo,blue,down
azul,yellow,right
verde,blue,down
amarillo,red,up
rojo,yellow,right
amarillo,red,up
rojo,yellow,right
amarillo,green,left
amarillo,red,up
rojo,blue,down
azul,green,left
verde,yellow,right
rojo,blue,down
amarillo,green,left
azul,yellow,right
rojo,green,left
verde,red,up
amarillo,green,left
verde,red,up
azul,green,left
amarillo,blue,down
azul,green,left
azul,yellow,right
azul,red,up
amarillo,blue,down
rojo,green,left
verde,blue,down
azul,red,up
rojo,green,left
amarillo,blue,down
azul,red,up
rojo,yellow,right
verde,red,up
verde,yellow,right
verde,blue,down
verde,yellow,right
