palabra,color_tinta,tecla_correcta
rojo,blue,down
rojo,yellow,right
verde,red,up
rojo,blue,down
azul,green,left
amarillo,red,up
amarillo,blue,down
azul,green,left
rojo,blue,down
azul,red,up
azul,yellow,right
amarillo,red,up
rojo,yellow,right
verde,blue,down
rojo,green,left
amarillo,blue,down
azul,yellow,right
rojo,green,left
amarillo,blue,down
amarillo,green,left
azul,red,up
verde,yellow,right
rojo,green,left
verde,yellow,right
verde,blue,down
rojo,yellow,right
amarillo,green,left
azul,yellow,right
azul,green,left
verde,red,up
verde,yellow,right
verde,red,up
amarillo,green,left
amarillo,red,up
verde,blue,down
azul,red,up
