palabra,color_tinta,tecla_correcta
azul,green,left
verde,blue,down
azul,yellow,right
rojo,blue,down
verde,yellow,right
verde,red,up
amarillo,blue,down
azul,yellow,right
verde,red,up
rojo,blue,down
azul,red,up
azul,green,left
verde,red,up
azul,green,left
verde,yellow,right
amarillo,blue,down
rojo,green,left
azul,yellow,right
azul,red,up
rojo,yellow,right
azul,red,up
verde,yellow,right
amarillo,red,up
amarillo,blue,down
rojo,yellow,right
rojo,blue,down
amarillo,red,up
rojo,green,left
amarillo,red,up
rojo,green,left
rojo,yellow,right
amarillo,green,left
verde,blue,down
amarillo,green,left
verde,blue,down
amarillo,green,left
