palabra,color_tinta,tecla_correcta
amarillo,red,up
rojo,blue,down
amarillo,red,up
rojo,blue,down
rojo,green,left
amarillo,red,up
verde,blue,down
azul,green,left
rojo,blue,down
azul,yellow,right
amarillo,green,left
verde,blue,down
rojo,yellow,right
azul,red,up
amarillo,green,left
verde,red,up
azul,yellow,right
rojo,green,left
azul,yellow,right
azul,green,left
verde,red,up
azul,green,left
azul,red,up
rojo,yellow,right
verde,blue,down
verde,red,up
rojo,yellow,right
amarillo,green,left
amarillo,blue,down
verde,yellow,right
rojo,green,left
verde,yellow,right
amarillo,blue,down
verde,yellow,right
amarillo,blue,down
azul,red,up
