palabra,color_tinta,tecla_correcta
amarillo,green,left
rojo,blue,down
rojo,green,left
azul,red,up
amarillo,green,left
rojo,yellow,right
azul,green,left
amarillo,red,up
azul,yellow,right
rojo,blue,down
amarillo,red,up
verde,blue,down
amarillo,green,left
verde,blue,down
verde,red,up
rojo,yellow,right
azul,red,up
azul,yellow,right
rojo,green,left
rojo,yellow,right
rojo,green,left
amarillo,blue,down
amarillo,red,up
azul,yellow,right
azul,red,up
verde,blue,down
verde,yellow,right
verde,red,up
rojo,blue,down
azul,green,left
verde,red,up
verde,yellow,right
azul,green,left
amarillo,blue,down
verde,yellow,right
amarillo,blue,down
