palabra,color_tinta,tecla_correcta
rojo,yellow,right
verde,blue,down
verde,red,up
azul,yellow,right
verde,blue,down
azul,red,up
rojo,green,left
azul,red,up
amarillo,blue,down
azul,green,left
azul,yellow,right
amarillo,red,up
verde,yellow,right
azul,red,up
rojo,blue,down
amarillo,green,left
amarillo,red,up
amarillo,green,left
rojo,yellow,right
rojo,green,left
verde,yellow,right
amarillo,green,left
amarillo,blue,down
azul,yellow,right
azul,green,left
rojo,blue,down
verde,yellow,right
azul,green,left
verde,blue,down
rojo,green,left
verde,red,up
rojo,blue,down
amarillo,red,up
rojo,yellow,right
verde,red,up
amarillo,blue,down
