palabra,color_tinta,tecla_correcta
rojo,yellow,right
amarillo,red,up
rojo,blue,down
amarillo,red,up
verde,yellow,right
rojo,blue,down
azul,green,left
azul,red,up
rojo,yellow,right
amarillo,red,up
rojo,blue,down
verde,yellow,right
verde,red,up
rojo,yellow,right
azul,red,up
verde,yellow,right
rojo,green,left
verde,red,up
azul,yellow,right
verde,red,up
amarillo,blue,down
azul,red,up
amarillo,blue,down
amarillo,green,left
azul,yellow,right
amarillo,green,left
azul,yellow,right
rojo,green,left
verde,blue,down
amarillo,green,left
verde,blue,down
rojo,green,left
amarillo,blue,down
azul,green,left
verde,blue,down
azul,green,left
