palabra,color_tinta,tecla_correcta
azul,yellow,right
amarillo,blue,down
rojo,green,left
amarillo,blue,down
amarillo,red,up
rojo,blue,down
amarillo,green,left
azul,yellow,right
verde,red,up
rojo,yellow,right
verde,blue,down
azul,green,left
rojo,yellow,right
rojo,green,left
azul,red,up
verde,yellow,right
rojo,green,left
verde,blue,down
amarillo,red,up
verde,yellow,right
azul,red,up
azul,green,left
azul,yellow,right
verde,red,up
rojo,blue,down
amarillo,red,up
amarillo,green,left
verde,blue,down
amarillo,green,left
amarillo,blue,down
azul,green,left
rojo,yellow,right
verde,red,up
verde,yellow,right
rojo,blue,down
azul,red,up
