palabra,color_tinta,tecla_correcta
azul,yellow,right
azul,green,left
verde,blue,down
verde,yellow,right
azul,green,left
verde,yellow,right
verde,red,up
rojo,yellow,right
rojo,blue,down
rojo,yellow,right
amarillo,green,left
verde,red,up
azul,yellow,right
azul,red,up
azul,green,left
azul,red,up
amarillo,blue,down
verde,yellow,right
verde,red,up
rojo,green,left
rojo,blue,down
amarillo,green,left
rojo,yellow,right
rojo,blue,down
amarillo,green,left
azul,red,up
amarillo,blue,down
amarillo,red,up
azul,yellow,right
amarillo,red,up
verde,blue,down
rojo,green,left
amarillo,red,up
amarillo,blue,down
rojo,green,left
verde,blue,down
