palabra,color_tinta,tecla_correcta
rojo,yellow,right
amarillo,green,left
amarillo,red,up
rojo,blue,down
verde,red,up
verde,yellow,right
rojo,green,left
azul,red,up
verde,yellow,right
amarillo,red,up
rojo,yellow,right
rojo,green,left
verde,blue,down
azul,yellow,right
rojo,green,left
verde,blue,down
rojo,yellow,right
azul,green,left
rojo,blue,down
verde,red,up
verde,blue,down
verde,red,up
azul,yellow,right
amarillo,blue,down
verde,yellow,right
rojo,blue,down
amarillo,green,left
azul,yellow,right
amarillo,red,up
amarillo,green,left
azul,red,up
azul,green,left
amarillo,blue,down
azul,red,up
amarillo,blue,down
azul,green,left
