palabra,color_tinta,tecla_correcta
rojo,yellow,right
amarillo,red,up
azul,green,left
verde,blue,down
azul,yellow,right
amarillo,red,up
rojo,green,left
rojo,blue,down
azul,green,left
amarillo,blue,down
verde,yellow,right
verde,red,up
rojo,yellow,right
verde,red,up
azul,yellow,right
amarillo,blue,down
azul,red,up
azul,yellow,right
rojo,green,left
rojo,blue,down
verde,red,up
rojo,blue,down
amarillo,green,left
verde,yellow,right
amarillo,red,up
amarillo,green,left
amarillo,blue,down
rojo,green,left
azul,red,up
verde,yellow,right
verde,blue,down
azul,green,left
verde,blue,down
azul,red,up
amarillo,green,left
rojo,yellow,right
